N�m;MATR�CULA;AV1;AV2;M�DIA FINAL
1;202002464716-23;;1,5;0,8
2;202002464716-24;4;2;3
3;202002464716-25;6;8;7
4;202002464716-26;3;4;3,5
5;202002464716-27;1;10;5,5
6;202002464716-28;;;0
7;202002464716-29;8;2;5
8;202002464716-30;4;;2
9;202002464716-31;6;6;6
10;202002464716-32;2;;1
11;202002464716-33;7;4;5,5
12;202002464716-34;6;3;4,5
13;202002464716-35;4;9;6,5
14;202002464716-36;2;0,5;1,3
15;202002464716-37;7;4;5,5
16;202002464716-38;1;8;4,5
17;202002464716-39;;;0
18;202002464716-40;3,5;2,5;3
19;202002464716-41;4;3;3,5
20;202002464716-42;;;0
21;202002464716-43;;;0
22;202002464716-44;3;2,5;2,8
23;202002464716-45;3,5;2,5;3
24;202002464716-46;9;3,5;6,3
25;202002464716-47;4;3;3,5
26;202002464716-48;3;3;3
27;202002464716-49;3,5;2;2,8
28;202002464716-50;;3;1,5
29;202002464716-51;;;0
30;202002464716-52;3,5;8,5;6
31;202002464716-53;0,5;0,5;0,5
32;202002464716-54;3,5;9;6,3
33;202002464716-55;3,5;2;2,8
34;202002464716-56;;;0
35;202002464716-57;2,5;2;2,3
36;202002464716-58;4;10;7
37;202002464716-59;;;0
38;202002464716-60;4;2,5;3,3
39;202002464716-61;2;3,5;2,8
40;202002464716-62;9;8;8,5
41;202002464716-63;6;3;4,5
42;202002464716-64;1;;0,5
43;202002464716-65;2,5;4;3,3
44;202002464716-66;3,5;8;5,8
45;202002464716-67;4,5;2,5;3,5
46;202002464716-68;;;0
47;202002464716-69;3,5;10;6,8
